web-scraper-order,web-scraper-start-url,links,links-href,name,parice,location,pages,pages-href
"1756100084-1","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 2,20,0002024 - 10,000 kmRoyal Enfield ClassicKaloorToday","https://www.olx.in/item/motorcycles-c81-used-royal-enfield-classic-in-kaloor-kochi-iid-1817414764","royal enfield classic (2024)","₹ 2,20,000","LocationKaloor, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100086-2","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 28,0002014 - 20,000 kmYamaha SZ-RRKuttkuzhiToday","https://www.olx.in/item/motorcycles-c81-used-yamaha-sz-rr-in-kuttkuzhi-kothamangalam-iid-1817919513","yamaha sz-rr (2014)","₹ 28,000","LocationKuttkuzhi, Kothamangalam","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100089-3","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 83,0002023 - 20,000 kmBajaj Pulsar P150ThoppilTodayVerified Selleri","https://www.olx.in/item/motorcycles-c81-used-bajaj-pulsar-p150-in-thoppil-kochi-iid-1815288704","bajaj pulsar p150 (2023)","₹ 83,000","LocationThoppil, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100094-4","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 93,0002023 - 17,000 kmTVS Apache RTR 160 4VMarottichuvaduTodayVerified Selleri","https://www.olx.in/item/motorcycles-c81-used-tvs-apache-rtr-160-4v-in-marottichuvadu-kochi-iid-1815288909","tvs apache rtr 160 4v (2023)","₹ 93,000","LocationMarottichuvadu, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100097-5","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 1,39,9992021 - 29,000 kmKTM 125 DukeMarottichuvaduTodayVerified Selleri","https://www.olx.in/item/motorcycles-c81-used-ktm-125-duke-in-marottichuvadu-kochi-iid-1815289191","ktm 125 duke (2021)","₹ 1,39,999","LocationMarottichuvadu, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100100-6","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 45,0002000 - 145,000 kmHero SplendorKadavanthraToday","https://www.olx.in/item/motorcycles-c81-used-hero-splendor-in-kadavanthra-kochi-iid-1817920016","hero splendor (2000)","₹ 45,000","LocationKadavanthra, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100103-7","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 78,0002017 - 24,000 kmRoyal Enfield Thunderbird 350AdinadToday","https://www.olx.in/item/motorcycles-c81-used-royal-enfield-thunderbird-350-in-adinad-karunagappally-iid-1817920434","royal enfield thunderbird 350 (2017)","₹ 78,000","LocationAdinad, Karunagappally","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100109-8","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 27,0002013 - 48,000 kmYamaha FZKazhakoottamToday","https://www.olx.in/item/motorcycles-c81-used-yamaha-fz-in-kazhakoottam-thiruvananthapuram-iid-1817920498","yamaha fz (2013)","₹ 27,000","LocationKazhakoottam, Thiruvananthapuram","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100115-9","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 1,38,0002021 - 33,000 kmBajaj Dominar 250MalikkadaveToday","https://www.olx.in/item/motorcycles-c81-used-bajaj-dominar-250-in-malikkadave-kozhikode-iid-1817064480","bajaj dominar 250 (2021)","₹ 1,38,000","LocationMalikkadave, Kozhikode","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100118-1","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 2,20,0002024 - 10,000 kmRoyal Enfield ClassicKaloorToday","https://www.olx.in/item/motorcycles-c81-used-royal-enfield-classic-in-kaloor-kochi-iid-1817414764","royal enfield classic (2024)","₹ 2,20,000","LocationKaloor, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100118-10","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 38,0002021 - 45,000 kmBajaj CT 110KuravilangadToday","https://www.olx.in/item/motorcycles-c81-used-bajaj-ct-110-in-kuravilangad-kottayam-iid-1817920680","bajaj ct 110 (2021)","₹ 38,000","LocationKuravilangad, Kottayam","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100121-11","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 79,9992020 - 70,000 kmYamaha FZSPallikavalaToday","https://www.olx.in/item/motorcycles-c81-used-yamaha-fzs-in-pallikavala-kattappana-iid-1814851627","yamaha fzs (2020)","₹ 79,999","LocationPallikavala, Kattappana","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100124-12","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 1,10,0002018 - 32,000 kmRoyal Enfield Classic 350KolacheriToday","https://www.olx.in/item/motorcycles-c81-used-royal-enfield-classic-350-in-kolacheri-narath-iid-1817920831","royal enfield classic 350 (2018)","₹ 1,10,000","LocationKolacheri, Narath","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100128-13","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 1,85,0002023 - 3,000 kmKTM 200 DukeThoppilTodayVerified Selleri","https://www.olx.in/item/motorcycles-c81-used-ktm-200-duke-in-thoppil-kochi-iid-1815289491","ktm 200 duke (2023)","₹ 1,85,000","LocationThoppil, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100131-14","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 60,0002018 - 60,000 kmTVS Apache RTRAngadipuramToday","https://www.olx.in/item/motorcycles-c81-used-tvs-apache-rtr-in-angadipuram-perinthalmanna-iid-1817920983","tvs apache rtr (2018)","₹ 60,000","LocationAngadipuram, Perinthalmanna","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100134-15","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 22,0002013 - 30,000 kmYamaha SZ RThengodToday","https://www.olx.in/item/motorcycles-c81-used-yamaha-sz-r-in-thengod-kochi-iid-1816156146","yamaha sz r (2013)","₹ 22,000","LocationThengod, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100137-16","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 1,80,0002024 - 4,500 kmHero Xpulse 200 4VKanjirapallyToday","https://www.olx.in/item/motorcycles-c81-used-hero-xpulse-200-4v-in-kanjirapally-kottayam-iid-1817600447","hero xpulse 200 4v (2024)","₹ 1,80,000","LocationKanjirapally, Kottayam","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100138-2","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 28,0002014 - 20,000 kmYamaha SZ-RRKuttkuzhiToday","https://www.olx.in/item/motorcycles-c81-used-yamaha-sz-rr-in-kuttkuzhi-kothamangalam-iid-1817919513","yamaha sz-rr (2014)","₹ 28,000","LocationKuttkuzhi, Kothamangalam","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100140-17","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 35,0002017 - 50,000 kmSuzuki Gixxer SFKakkanadToday","https://www.olx.in/item/motorcycles-c81-used-suzuki-gixxer-sf-in-kakkanad-kochi-iid-1817919855","suzuki gixxer sf (2017)","₹ 35,000","LocationKakkanad, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100144-18","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","Featured₹ 53,0002021 - 34,990 kmBajaj Platina 100Eravimangalam3 days ago","https://www.olx.in/item/motorcycles-c81-used-bajaj-platina-100-in-eravimangalam-nadathara-iid-1814297126","bajaj platina 100 (2021)","₹ 53,000","LocationEravimangalam, Nadathara","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100146-19","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","Featured₹ 76,0412025 - 0 kmTVS SportFort KochiMay 05","https://www.olx.in/item/motorcycles-c81-used-tvs-sport-in-fort-kochi-kochi-iid-1806099968","tvs sport (2025)","₹ 76,041","LocationFort Kochi, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100149-20","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","Featured₹ 76,0412025 - 0 kmTVS SportThopumpadyMay 05","https://www.olx.in/item/motorcycles-c81-used-tvs-sport-in-thopumpady-kochi-iid-1806099843","tvs sport (2025)","₹ 76,041","LocationThopumpady, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100154-21","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 28,0002013 - 100 kmBajaj Pulsar 220 FUp HillToday","https://www.olx.in/item/motorcycles-c81-used-bajaj-pulsar-220-f-in-up-hill-malappuram-iid-1817921341","bajaj pulsar 220 f (2013)","₹ 28,000","LocationUp Hill, Malappuram","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100157-22","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 1,35,0002021 - 28,000 kmYamaha R15VanchiyoorToday","https://www.olx.in/item/motorcycles-c81-used-yamaha-r15-in-vanchiyoor-thiruvananthapuram-iid-1817547803","yamaha r15 (2021)","₹ 1,35,000","LocationVanchiyoor, Thiruvananthapuram","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100159-3","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 83,0002023 - 20,000 kmBajaj Pulsar P150ThoppilTodayVerified Selleri","https://www.olx.in/item/motorcycles-c81-used-bajaj-pulsar-p150-in-thoppil-kochi-iid-1815288704","bajaj pulsar p150 (2023)","₹ 83,000","LocationThoppil, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100160-23","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 75,0002016 - 37,000 kmRoyal Enfield Bullet 350Vinay NagarToday","https://www.olx.in/item/motorcycles-c81-used-royal-enfield-bullet-350-in-vinay-nagar-thrissur-iid-1815803628","royal enfield bullet 350 (2016)","₹ 75,000","LocationVinay Nagar, Thrissur","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100163-24","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 55,0002019 - 45,000 kmAprilia RS 150IrimbanamToday","https://www.olx.in/item/motorcycles-c81-used-aprilia-rs-150-in-irimbanam-kochi-iid-1817921544","aprilia rs 150 (2019)","₹ 55,000","LocationIrimbanam, Kochi","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100167-25","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 1,50,0002020 - 20,900 kmBajaj Dominar 400KattakadaToday","https://www.olx.in/item/motorcycles-c81-used-bajaj-dominar-400-in-kattakada-thiruvananthapuram-iid-1817921613","bajaj dominar 400 (2020)","₹ 1,50,000","LocationKattakada, Thiruvananthapuram","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100170-26","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 60,0002017 - 9,440 kmHonda UnicornAllanpalan NagarToday","https://www.olx.in/item/motorcycles-c81-used-honda-unicorn-in-allanpalan-nagar-puthukkad-iid-1817921806","honda unicorn (2017)","₹ 60,000","LocationAllanpalan Nagar, Puthukkad","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100174-27","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 18,0002007 - 1,022 kmHero Honda Passion PlusOorakamToday","https://www.olx.in/item/motorcycles-c81-used-hero-honda-passion-plus-in-oorakam-chevvoor-iid-1817921955","hero honda passion plus (2007)","₹ 18,000","LocationOorakam, Chevvoor","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
"1756100178-28","https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81","₹ 60,0002023 - 13,000 kmHero Passion PRO i3sMuringur VadakkummuriToday","https://www.olx.in/item/motorcycles-c81-used-hero-passion-pro-i3s-in-muringur-vadakkummuri-chalakudy-iid-1817922014","hero passion pro i3s (2023)","₹ 60,000","LocationMuringur Vadakkummuri, Chalakudy","254","https://www.olx.in/kerala_g2001160/motorcycles_c81?page=254"
