unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|Handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|Warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
00-769494|Billa|||||||00-10|2025-10-16|Vöslauer Mild|Vöslauer|||||Getränke|Alkoholfreie Getränke|Mineralwasser|Getränke|Mineralwasser|mild||95|||||||||||||||EUR|Getränke > Alkoholfreie Getränke > Mineralwasser > Getränke > Mineralwasser > mild|https://shop.billa.at/produkte/voeslauer-mild-00769494||Vöslauer Mild ist ein natürliches Mineralwasser aus Österreich. Mit seinem moderaten Kohlensäuregehalt bietet es ein angenehm frisches Trinkerlebnis.<br><br><ul><li>ausgewogen mineralisiert, geringer Natriumgehalt</li></ul>|||||Österreich|||||||||||||||||||||||||||||||||||||00-769494_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769494-1871579760-6R8Yy3WP.jpg|||||00-769494||||||||||||||||||||||||TRUE|||||||||||
00-89083|Billa|||||||00-10|2025-10-16|Ja! Natürlich Orangen|Ja! Natürlich|||||Obst & Gemüse|Obst|Zitrusfrüchte|||||379|||||||||||||||EUR|Obst & Gemüse > Obst > Zitrusfrüchte|https://shop.billa.at/produkte/ja-natuerlich-orangen-0089083||Die Ja! Natürlich Bio-Orangen sind saftig-süß im Geschmack und werden gemäß der biologischen Landwirtschaft angebaut. Auch die Schale bleibt unbehandelt und kann somit bedenkenlos verwendet werden - ob zum Verfeinern von Kuchen, Tees oder Nachspeisen.|||||Italien, Griechenland|||||||||||||||||||||||||||||||||||||00-89083_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89083-0301493794-nztkY2wY.jpg|||||00-89083||||||||||||||||||||||||TRUE|||||||||||
00-410607|Billa|||||||00-10|2025-10-16|Heidelbeeren||||||Obst & Gemüse|Obst|Steinobst & Beeren|||||239|||||||||||||||EUR|Obst & Gemüse > Obst > Steinobst & Beeren|https://shop.billa.at/produkte/heidelbeeren-00410607||Klasse I|||||Polen, Peru, Österreich, Marokko, Spanien|||||||||||||||||||||||||||||||||||||00-410607_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-410607-0121154353-IItANmtY.jpg|||||00-410607||||||||||||||||||||||||TRUE|||||||||||
00-424344|Billa|||||||00-10|2025-10-16|Ja! Natürlich Hendlfilet|Ja! Natürlich|||||Kühlwaren|Fleisch|Huhn & Truthahn|||||3199|||||||||||||||EUR|Kühlwaren > Fleisch > Huhn & Truthahn|https://shop.billa.at/produkte/ja-natuerlich-hendlfilet-00424344||Durch artgerechte Tierhaltung zu einer ausgezeichneten Fleischqualität: Die Hendl-Filets von Ja! Natürlich sind zu 100 % Bio - und das schmeckt man.<ul><li>entstammt zu 100% aus Österreich</li><li>hohe Fleischqualität mit intensivem Geschmack</li><li>gentechnikfrei gemäß Bio-Verordnung der EU</li></ul>|||||Österreich|||||||||||||||||||||||||||||||||||||00-424344_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-424344-1965859764-RSC46ryn.jpg|||||00-424344||||||||||||||||||||||||TRUE|||||||||||
00-88818|Billa|||||||00-10|2025-10-16|Ja! Natürlich Eier L|Ja! Natürlich|||||Nahrungsmittel|Backen|Eier|Kühlwaren|Eier|||399|||||||||||||||EUR|Nahrungsmittel > Backen > Eier > Kühlwaren > Eier|https://shop.billa.at/produkte/ja-natuerlich-eier-l-0088818||Die Bio-Eier von Ja! Natürlich stammen von freilaufenden Hühnern und sind zu 100 % aus Österreich. Die Tiere leben in einem artgemäßen Umfeld mit viel Auslauf sowohl im Hühnerhaus, als auch im Freien. Was den Hühnern gefüttert wird, steckt auch im Ei, weshalb sie mit natürlichem Bio-Futter ohne synthetische Farbstoffe versorgt werden. Das Futter ist zu 100% aus Österreich und selbstverständlich gentechnikfrei*.<p>*gemäß EU-Bio-Verordnung|||||Österreich|CONTAINS AE||||||||||||||||||||||||||||||||||||00-88818_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-88818-1728476838-0ec8w9k2.jpg|||||00-88818||||||||||||||||||||||||TRUE|||||||||||
00-769750|Billa|||||||00-10|2025-10-16|Coca Cola|Coca Cola|||||Getränke|Alkoholfreie Getränke|Limonaden|||||135|||||||||||||||EUR|Getränke > Alkoholfreie Getränke > Limonaden|https://shop.billa.at/produkte/coca-cola-00769750||Als prickelndes Erfrischungsgetränk mit einzigartigem Geschmack kam Coca-Cola 1886 auf den Markt. Glück in der Flasche, zum Teilen gedacht.|||||Österreich|||||||||||||||||||||||||||||||||||||00-769750_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769750-0179665502-nX7kxsXA.jpg|||||00-769750||||||||||||||||||||||||TRUE|||||||||||
00-431081|Billa|||||||00-10|2025-10-16|Ja! Natürlich Apfel Tasse rot|Ja! Natürlich|||||Obst & Gemüse|Obst|Äpfel, Birnen & Trauben|||||349|||||||||||||||EUR|Obst & Gemüse > Obst > Äpfel, Birnen & Trauben|https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081||Der rote Bio-Apfel in der Tasse aus Osterreich in ausgezeichneter Bio-Qualitat von Ja! Naturlich schmeckt erntefrisch, saftig und wunderbar fruchtig.<ul><li>regionale Herkunft von Ja! Naturlich</li></ul>|||||Österreich|||||||||||||||||||||||||||||||||||||00-431081_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-431081-0275194093-ImRiFZkz.jpg|||||00-431081||||||||||||||||||||||||TRUE|||||||||||
00-312736|Billa|||||||00-10|2025-10-16|Clever Eier aus Bodenhaltung M|CLEVER|||||Nahrungsmittel|Backen|Eier|Kühlwaren|Eier|||399|||||||||||||||EUR|Nahrungsmittel > Backen > Eier > Kühlwaren > Eier|https://shop.billa.at/produkte/clever-eier-aus-bodenhaltung-m-00312736||Die Bodenhaltungseier der Güteklasse A von clever haben einen fixen Platz in den heimischen Küchen - ob gekocht, als Frühstücks- oder Spiegelei oder zum Backen und Binden.<br>Die Futtermittel für die Legehennen werden ausschließlich gentechnikfrei produziert und stammen aus dem erweiterten Donauraum.<ul><li>Güteklasse A Bodenhaltungseier aus Österreich</li><li>AMA-Gütesiegel</li><li>Ausschließlich gentechnikfreie Futtermittel</li><li>Größe M</li><li>15 Stk.</li></ul>|||||Österreich|CONTAINS AE||||||||||||||||||||||||||||||||||||00-312736_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-312736-1172552531-DVC4APUy.jpg|||||00-312736||||||||||||||||||||||||TRUE|||||||||||
00-490096|Billa|||||||00-10|2025-10-16|BILLA Bio Kiwi|Billa Bio|||||Obst & Gemüse|Obst|Exotisches Obst|||||99|||||||||||||||EUR|Obst & Gemüse > Obst > Exotisches Obst|https://shop.billa.at/produkte/billa-bio-kiwi-00490096||Klasse I|||||Neuseeland|||||||||||||||||||||||||||||||||||||00-490096_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-490096-0207186157-Otjqe0Ov.jpg|||||00-490096||||||||||||||||||||||||TRUE|||||||||||
00-504851|Billa|||||||00-10|2025-10-16|Ja! Natürlich Roggenbrot Pur|Ja! Natürlich|||||Brot & Gebäck|Brot & Gebäck|Ofenfrisches Brot|||||311|||||||||||||||EUR|Brot & Gebäck > Brot & Gebäck > Ofenfrisches Brot|https://shop.billa.at/produkte/ja-natuerlich-roggenbrot-pur-00504851||Für unser Bio-Roggen-Pur-Brot kommt ausschließlich Bio-Roggenmehl zum Einsatz. Der frische Bio-Roggensauerteig sorgt für eine angenehme Saftigkeit und hält das Brot zudem länger frisch.<br><ul><li>Bio-Roggensauerteig</li><li>Heimisches Bio-Getreide</li><li>Ohne Zusatzstoffe</li><li>100% Bio</li><li>Aus Österreich</li><li>100% Gentechnikfrei</li></ul>|||||Österreich|CONTAINS AW||||||||||||||||||||||||||||||||||||00-504851_1.PNG|https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-504851-1274666530-c9jAePVh.jpg|||||00-504851||||||||||||||||||||||||TRUE|||||||||||
