unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
00-769494|billa||||||||2025-10-16|vöslauer mild|vöslauer|||||getränke|alkoholfreie getränke|mineralwasser|getränke|mineralwasser|mild||95|||||||||||||||eur|getränke alkoholfreie getränke mineralwasser getränke mineralwasser mild|https://shop.billa.at/produkte/voeslauer-mild-00769494||vöslauer mild ist ein natürliches mineralwasser aus österreich. mit seinem moderaten kohlensäuregehalt bietet es ein angenehm frisches trinkerlebnis. ausgewogen mineralisiert, geringer natriumgehalt|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769494-1871579760-6r8yy3wp.jpg|||||00-769494||||||||||||||||||||||||True||00-769494p|||||||||
00-89083|billa||||||||2025-10-16|ja natürlich orangen|ja natürlich|||||obst gemüse|obst|zitrusfrüchte|||||379|||||||||||||||eur|obst gemüse obst zitrusfrüchte|https://shop.billa.at/produkte/ja-natuerlich-orangen-0089083||die ja natürlich bio-orangen sind saftig-süß im geschmack und werden gemäß der biologischen landwirtschaft angebaut. auch die schale bleibt unbehandelt und kann somit bedenkenlos verwendet werden - ob zum verfeinern von kuchen, tees oder nachspeisen.|||||italien, griechenland||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89083-0301493794-nztky2wy.jpg|||||00-89083||||||||||||||||||||||||True||00-89083p|||||||||
00-410607|billa||||||||2025-10-16|heidelbeeren||||||obst gemüse|obst|steinobst beeren|||||239|||||||||||||||eur|obst gemüse obst steinobst beeren|https://shop.billa.at/produkte/heidelbeeren-00410607||klasse i|||||polen, peru, österreich, marokko, spanien||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-410607-0121154353-iitanmty.jpg|||||00-410607||||||||||||||||||||||||True||00-410607p|||||||||
00-424344|billa||||||||2025-10-16|ja natürlich hendlfilet|ja natürlich|||||kühlwaren|fleisch|huhn truthahn|||||3199|||||||||||||||eur|kühlwaren fleisch huhn truthahn|https://shop.billa.at/produkte/ja-natuerlich-hendlfilet-00424344||durch artgerechte tierhaltung zu einer ausgezeichneten fleischqualität: die hendl-filets von ja natürlich sind zu 100 % bio - und das schmeckt man. entstammt zu 100% aus österreich hohe fleischqualität mit intensivem geschmack gentechnikfrei gemäß bio-verordnung der eu|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-424344-1965859764-rsc46ryn.jpg|||||00-424344||||||||||||||||||||||||True||00-424344p|||||||||
00-88818|billa||||||||2025-10-16|ja natürlich eier l|ja natürlich|||||nahrungsmittel|backen|eier|kühlwaren|eier|||399|||||||||||||||eur|nahrungsmittel backen eier kühlwaren eier|https://shop.billa.at/produkte/ja-natuerlich-eier-l-0088818||die bio-eier von ja natürlich stammen von freilaufenden hühnern und sind zu 100 % aus österreich. die tiere leben in einem artgemäßen umfeld mit viel auslauf sowohl im hühnerhaus, als auch im freien. was den hühnern gefüttert wird, steckt auch im ei, weshalb sie mit natürlichem bio-futter ohne synthetische farbstoffe versorgt werden. das futter ist zu 100% aus österreich und selbstverständlich gentechnikfrei . gemäß eu-bio-verordnung|||||österreich|contains ae|||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-88818-1728476838-0ec8w9k2.jpg|||||00-88818||||||||||||||||||||||||True||00-88818p|||||||||
00-769750|billa||||||||2025-10-16|coca cola|coca cola|||||getränke|alkoholfreie getränke|limonaden|||||135|||||||||||||||eur|getränke alkoholfreie getränke limonaden|https://shop.billa.at/produkte/coca-cola-00769750||als prickelndes erfrischungsgetränk mit einzigartigem geschmack kam coca-cola 1886 auf den markt. glück in der flasche, zum teilen gedacht.|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769750-0179665502-nx7kxsxa.jpg|||||00-769750||||||||||||||||||||||||True||00-769750p|||||||||
00-431081|billa||||||||2025-10-16|ja natürlich apfel tasse rot|ja natürlich|||||obst gemüse|obst|äpfel, birnen trauben|||||349|||||||||||||||eur|obst gemüse obst äpfel, birnen trauben|https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081||der rote bio-apfel in der tasse aus osterreich in ausgezeichneter bio-qualitat von ja naturlich schmeckt erntefrisch, saftig und wunderbar fruchtig. regionale herkunft von ja naturlich|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-431081-0275194093-imrifzkz.jpg|||||00-431081||||||||||||||||||||||||True||00-431081p|||||||||
00-312736|billa||||||||2025-10-16|clever eier aus bodenhaltung m|clever|||||nahrungsmittel|backen|eier|kühlwaren|eier|||399|||||||||||||||eur|nahrungsmittel backen eier kühlwaren eier|https://shop.billa.at/produkte/clever-eier-aus-bodenhaltung-m-00312736||die bodenhaltungseier der güteklasse a von clever haben einen fixen platz in den heimischen küchen - ob gekocht, als frühstücks- oder spiegelei oder zum backen und binden. die futtermittel für die legehennen werden ausschließlich gentechnikfrei produziert und stammen aus dem erweiterten donauraum. güteklasse a bodenhaltungseier aus österreich ama-gütesiegel ausschließlich gentechnikfreie futtermittel größe m 15 stk.|||||österreich|contains ae|||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-312736-1172552531-dvc4apuy.jpg|||||00-312736||||||||||||||||||||||||True||00-312736p|||||||||
00-490096|billa||||||||2025-10-16|billa bio kiwi|billa bio|||||obst gemüse|obst|exotisches obst|||||99|||||||||||||||eur|obst gemüse obst exotisches obst|https://shop.billa.at/produkte/billa-bio-kiwi-00490096||klasse i|||||neuseeland||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-490096-0207186157-otjqe0ov.jpg|||||00-490096||||||||||||||||||||||||True||00-490096p|||||||||
00-504851|billa||||||||2025-10-16|ja natürlich roggenbrot pur|ja natürlich|||||brot gebäck|brot gebäck|ofenfrisches brot|||||311|||||||||||||||eur|brot gebäck brot gebäck ofenfrisches brot|https://shop.billa.at/produkte/ja-natuerlich-roggenbrot-pur-00504851||für unser bio-roggen-pur-brot kommt ausschließlich bio-roggenmehl zum einsatz. der frische bio-roggensauerteig sorgt für eine angenehme saftigkeit und hält das brot zudem länger frisch. bio-roggensauerteig heimisches bio-getreide ohne zusatzstoffe 100% bio aus österreich 100% gentechnikfrei|||||österreich|contains aw|||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-504851-1274666530-c9jaepvh.jpg|||||00-504851||||||||||||||||||||||||True||00-504851p|||||||||
00-422295|billa||||||||2025-10-16|billa bio haltbarmilch 3.5%|billa bio|||||kühlwaren|milchprodukte|haltbarmilch kondensmilch|||||159|||||||||||||||eur|kühlwaren milchprodukte haltbarmilch kondensmilch|https://shop.billa.at/produkte/billa-bio-haltbarmilch-35-00422295||eine kuh macht muh, viele kühe machen unsere bio-milch. dank langer haltbarkeit ein weißer genuss auf vorrat. bio-milch aus österreich gentechnikfrei, sagen die lieben bio-kühe lieber eine mehr kaufen, denn die hält eh länger danke für die mühe, liebe bio-kühe|||||österreich|contains am|||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-422295-0258761697-v1vpyp9p.jpg|||||00-422295||||||||||||||||||||||||True||00-422295p|||||||||
00-437340|billa||||||||2025-10-16|berger wellness schinken geschnitten|berger|||||kühlwaren|wurst, schinken speck|schinken|||||259|||||||||||||||eur|kühlwaren wurst, schinken speck schinken|https://shop.billa.at/produkte/berger-wellness-schinken-geschnitten-00437340||leichter schinkengenuss mit vollem geschmack: mit nur 2 % fett eignet sich der berger wellness schinken für alle, die wert auf eine bewusste ernährung legen. kochpökelschinken aus österreichischem fleisch, geschnitten handgefertigt, ohne geschmacksverstärker|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-437340-0214279941-7uho2yrq.jpg|||||00-437340||||||||||||||||||||||||True||00-437340p|||||||||
00-451542|billa||||||||2025-10-16|billa tierwohl heumilch länger frisch 3,6%|billa immer gut|||||kühlwaren|milchprodukte|milch|||||169|||||||||||||||eur|kühlwaren milchprodukte milch|https://shop.billa.at/produkte/billa-tierwohl-heumilch-laenger-frisch-36-00451542||bergbauern heumilch von billa unterstützt die traditionelle milchgewinnung. die kühe grasen im sommer auf der alm, im winter bekommen sie bestes heu. 3,6 % fettgehalt qualität und unverfälschtheit aus dem salzburger land|||||österreich|contains am|||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-451542-0202405917-3enrtsua.jpg|||||00-451542||||||||||||||||||||||||True||00-451542p|||||||||
00-288154|billa||||||||2025-10-16|clever brötchen zum fertigbacken|clever|||||brot gebäck|aufbackbrötchen toast|aufbackbrötchen -baguettes|||||89|||||||||||||||eur|brot gebäck aufbackbrötchen toast aufbackbrötchen -baguettes|https://shop.billa.at/produkte/clever-broetchen-zum-fertigbacken-00288154||das beste am gemeinsamen frühstück ist frisch gebackenes, herrlich knuspriges, ofenwarmes gebäck. mit den clever brötchen kann man das im nu selbst machen: einfach auspacken und 8-10 minuten ins rohr. fertig|||||deutschland|contains aw|||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-288154-2050469286-zr-j2z9p.jpg|||||00-288154||||||||||||||||||||||||True||00-288154p|||||||||
00-701766|billa||||||||2025-10-16|soletti salzstangerl|soletti|||||süßes salziges|chips co.|knabbereien|||||209|||||||||||||||eur|süßes salziges chips co. knabbereien|https://shop.billa.at/produkte/soletti-salzstangerl-00701766||tradition regionalität - das vermittelt die marke soletti ganz besonders. seit über 75 jahren werden soletti snacks im südoststeirischen feldbach hergestellt. dabei wird 100% österreichisches mehl und 100% salz aus den österreichischen alpen verarbeitet. die beliebte familienpackung darf als partysnack nicht fehlen und ist einfach immer dabei.|||||österreich|contains aw, may_contain as, may_contain am|||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-701766-1361277837-uk-fih6k.jpg|||||00-701766||||||||||||||||||||||||True||00-701766p|||||||||
00-401924|billa||||||||2025-10-16|ja natürlich snacktomaten|ja natürlich|||||obst gemüse|gemüse|gartengemüse|||||299|||||||||||||||eur|obst gemüse gemüse gartengemüse|https://shop.billa.at/produkte/ja-natuerlich-snacktomaten-00401924||wer auf österreichische bio-snacktomaten von ja natürlich auch außerhalb der wärmeren sommermonate nicht verzichten will, findet ab april bio-snacktomaten aus oberösterreich im regal. die vorhandene geothermie in geinberg ermöglicht den anbau von bio-fruchtgemüse auch außerhalb der herkömmlichen saison. 100% bio aus österrreich 100% gentechnikfrei|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-401924-815313161-5o8xzkbg.jpg|||||00-401924||||||||||||||||||||||||True||00-401924p|||||||||
00-89532|billa||||||||2025-10-16|da komm ich her erdäpfel speckig|da komm ich her|||||obst gemüse|gemüse|zwiebel und kartoffeln|||||159|||||||||||||||eur|obst gemüse gemüse zwiebel und kartoffeln|https://shop.billa.at/produkte/da-komm-ich-her-erdaepfel-speckig-0089532||klasse i heimisches gemüse aus österreichischem anbau: die speckigen erdäpfel von da komm ich her lassen sich wunderbar zu salat und köstlichen beilagen verarbeiten. aus der region reich an vitaminen und mineralstoffen|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89532-1406593910-8oozpy6m.jpg|||||00-89532||||||||||||||||||||||||True||00-89532p|||||||||
00-769497|billa||||||||2025-10-16|vöslauer ohne|vöslauer|||||getränke|alkoholfreie getränke|mineralwasser|getränke|mineralwasser|still||85|||||||||||||||eur|getränke alkoholfreie getränke mineralwasser getränke mineralwasser still|https://shop.billa.at/produkte/voeslauer-ohne-00769497||vöslauer ohne ist ein natürliches mineralwasser ohne kohlensäure. in der flasche mit dem praktischen pocket-ring-verschluss ist es perfekt für unterwegs. flasche zu 100 % aus recycelten pet-flaschen hergestellt|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769497-2123114938-crqlgerm.jpg|||||00-769497||||||||||||||||||||||||True||00-769497p|||||||||
00-769749|billa||||||||2025-10-16|gröbi orange-maracuja|gröbi|||||getränke|alkoholfreie getränke|limonaden|||||199|||||||||||||||eur|getränke alkoholfreie getränke limonaden|https://shop.billa.at/produkte/groebi-orangemaracuja-00769749||himmlisch leicht und einfach unwiderstehlich: gröbi orange-maracuja ist eine versuchung für ihre geschmacksnerven, der sie nachgeben sollten. denn die fruchtig frische limonade liefert ihnen eine extra portion erfrischung und viele vitamine - ganz ohne zucker. gröbi. alles, was ich will.|||||österreich||||||||||||||||||||||||||||||||||||||https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769749-177924011-9ohqpusu.jpg|||||00-769749||||||||||||||||||||||||True||00-769749p|||||||||
