unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
10010322||lidl|||||||2025-10-27|milbona 4 high protein puddings with topping|||4|x||food & drink|cheese & dairy||||||1.69||||||||||||||||food & drink > cheese & dairy|https://www.lidl.co.uk/p/milbona-4-high-protein-puddings-with-topping/p10010322||chilled choose from: chocolate vanilla|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/9cnrzgkdi0m-hxevhu1-ih2llehske6doacodp_99di/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9enei2otvgrjlgmdbcmdvgmkq0nzuyqjf/bnjuyq0q2qtneqtnbmdvfmee1ntm1rjlbrjm3qjaxqzm2n0y4odq4lmpwzw.jpg||||||||||||||||||||||||4 x||4 x|||True||10010322P|||||||||
10028186||lidl|||||||2025-10-27|deluxe chilean malbec reserva privada 2023|||75|cl||food & drink|wine & spirits||||||5.79||||||||||||||||food & drink > wine & spirits|https://www.lidl.co.uk/p/deluxe-chilean-malbec-reserva-privada-2023/p10028186|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/tfd4jjs7nyf6_gumiyhkuivlzo0tlyplvmhc-vzcbja/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms85mengruzgq0exmevenjbgmdk3ntawm0y/5oei4odk4qkqyndngmtqzrjy5nzkymzzdqkeymungmzqyrjy5n0jflmpwzw.jpg||||||||||||||||||||||||75 cl||75 cl|||True||10028186P|||||||||
10028187||lidl|||||||2025-10-27|deluxe south africa fairtrade shiraz swartland 2023||||||food & drink|wine & spirits||||||6.83||||||||||||||||food & drink > wine & spirits|https://www.lidl.co.uk/p/deluxe-south-africa-fairtrade-shiraz-swartland-2023/p10028187|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/znyldrdjjiovi1lmfuyrqgjfulvqcgvrfvfilksqj3i/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms8woem1ouyzqkm3nuuxmerfqju1mzm5mdh/brtu0mkuwrdfdnkjbouu1ndc1mtrdoujbmkiwmtdfrtjeotheotqylmpwzw.jpg|||||||||||||||||||||||||||||True||10028187P|||||||||
10028188||lidl|||||||2025-10-27|deluxe sauvignon blanc reserva priva|||75|cl||food & drink|wine & spirits||||||6.29||||||||||||||||food & drink > wine & spirits|https://www.lidl.co.uk/p/deluxe-sauvignon-blanc-reserva-priva/p10028188|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/pl1a9j5gipzsheu6pw6nd3mmpk7kl5bpy5bbufarsyc/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9erty5mzzfmee2mzi2nzuzoujem0jdrdc/xruq0njzdotk5rti5oezcreqynemzoujdqkuzqkm3odcwrkjbntczlmpwzw.jpg||||||||||||||||||||||||75 cl||75 cl|||True||10028188P|||||||||
10028189||lidl|||||||2025-10-27|deluxe argentinian malbec rosé mendoza|||75|cl||food & drink|wine & spirits||||||6.49||||||||||||||||food & drink > wine & spirits|https://www.lidl.co.uk/p/deluxe-argentinian-malbec-rose-mendoza/p10028189|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/zy0ajyfmxwzujua1wmd5cbsdj5fajsstkurutxeqcsw/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9goujcqzddrui2ote2rdk5ota2m0iwqjg/1mkyzquiyrjmwqjg5mzu0n0req0uwmje4rey3odvbq0nendbdmzfglmpwzw.jpg||||||||||||||||||||||||75 cl||75 cl|||True||10028189P|||||||||
10028190||lidl|||||||2025-10-27|deluxe australia viognier riverina|||75|cl||food & drink|wine & spirits||||||6.79||||||||||||||||food & drink > wine & spirits|https://www.lidl.co.uk/p/deluxe-australia-viognier-riverina/p10028190|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/oybfdfudncpe7pem7slr4anc0efxc37epdd68sny0ea/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms84rtkzquywndg5rey2mku1nkrbnujfm0i/4rta1odfbodrgnue0odhgrum0othbqkngmey4oda1rjherkveqzjdlmpwzw.jpg||||||||||||||||||||||||75 cl||75 cl|||True||10028190P|||||||||
10028191||lidl|||||||2025-10-27|deluxe argentinian malbec uco valley|||75|cl||food & drink|wine & spirits||||||6.29||||||||||||||||food & drink > wine & spirits|https://www.lidl.co.uk/p/deluxe-argentinian-malbec-uco-valley/p10028191|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/8irzrbcaw9dphawi1uywsdrcb0t3znmkg7liei2n_20/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms8ymdgwq0q5mtgzrtc2reu0ruexnzddnda/wounbn0fdquy1nujcnjneqtlbmtm3m0vgqtg1qjyynjjgn0qyqze1lmpwzw.jpg||||||||||||||||||||||||75 cl||75 cl|||True||10028191P|||||||||
10028192||lidl|||||||2025-10-27|deluxe south africa sauvignon blanc|||75|cl||food & drink|wine & spirits||||||5.99||||||||||||||||food & drink > wine & spirits|https://www.lidl.co.uk/p/deluxe-south-africa-sauvignon-blanc/p10028192|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/tbue0qkhtwtc7lqfj76aslbspn4alcmkdvwdhcntwxe/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms85mjnfm0yymkfbmdrdntuwqzq2qzffnui/xouq2rjfcrjizm0ywqtveoue4n0m0qky4ntjenkezq0yxrkm1njkylmpwzw.jpg||||||||||||||||||||||||75 cl||75 cl|||True||10028192P|||||||||
10029782||lidl|||||||2025-10-27|funsize cucumbears|||250|g||food & drink|snacks & confectionery||||||0.99||||||pick of the week||||||£3.96/kg||||food & drink > snacks & confectionery|https://www.lidl.co.uk/p/funsize-cucumbears/p10029782|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/fdrwhf5gncf_qgxep60hor5xkmnyetlsmrugvyu5ade/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9emzk3ndyyndy1rtm5rdi4mee3oevgqjg/zrthfouu1njq5otfeqkvfmdhfode4rtq1odlfmuiynju2njazmjqzlmpwzw.jpg||||||||||||||||||||||||250 g||250 g|||True||10029782P|||||||||
10034372||lidl|||||||2025-10-27|birchwood 2 crispy aromatic half ducks with pancakes|||1.14|kg||food & drink|chilled food||||||9.99||||||pick of the week||||||£8.76/kg||||food & drink > chilled food|https://www.lidl.co.uk/p/birchwood-2-crispy-aromatic-half-ducks-with-pancakes/p10034372|||||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/zbplq5oeu7x1tddcwd5jgss5vp42lbochxx2av-vzvy/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9frje2rjbbrui3mzzbmjq1qzdgmtjcrtd/enzbfrkrbmjk0otc1nji1rkywqtq1qzvbrte5ndrbnthdoey5rda2lmpwzw.jpg||||||||||||||||||||||||1.14 kg||1.14 kg|||True||10034372P|||||||||
